fips,wage,employment
17087,17981.3231292517,1176
17089,31803.54823621589,168473
17091,28375.670389988198,36437
17093,32608.730062259117,13492
17095,23945.865146115466,21045
17097,43402.84284465171,274480
17099,28010.032701790813,38530
17101,23407.020031628886,3794
17103,26319.21642788921,10470
17105,28567.286197455305,12418
17107,22157.003462511653,7509
17109,21163.84879789632,10648
17111,32317.01105370817,76264
17113,34314.779346291674,73672
17115,33351.12735867484,51194
17117,23241.82095476862,9573
17119,28577.53821996028,80560
17121,24582.800149446368,14721
17123,24277.84334387074,2847
17125,22658.6941301273,2828
17127,28502.39711465452,3951
17129,21455.10551724138,1450
17131,20362.47993981946,1994
17133,24408.964948811383,5763
17135,22728.526292773586,9147
17137,24258.677918424753,13509
17139,23353.580580865604,3512
17141,29899.101224105463,14868
17143,31291.085953286256,92050
17145,21959.806999378754,4829
17147,24227.835433371514,2619
17149,17912.544847605226,3445
17151,23825.24767225326,537
17153,22019.378632478634,1170
17155,39426.52204681546,1837
17157,24319.643154823923,9598
17159,22209.529490841876,5951
17161,32756.882055919814,66345
17163,25426.014460827377,73993
17165,25246.706927175845,6756
17167,28968.141315393423,77741
17169,22869.458702064898,1356
17171,38274.636812411845,1418
17173,22544.676074972438,4535
17175,20915.73694984647,977
17177,30041.86043086992,18335
17179,35987.66281948882,50080
17181,19928.2647702407,3656
17183,26117.522574996194,26268
17185,23805.30172413793,3364
17187,20988.123616236164,4878
17189,26036.57754010695,4675
17191,21755.539449541284,3815
17193,23123.113320621083,3671
17195,26404.17533447339,19882
17197,32178.52904608966,120808
17199,22321.8651225394,17831
17201,31374.503878937332,130577
17203,23516.635067212155,8555
18001,25364.48534250673,13372
18003,32292.49869568021,170587
18005,36434.04426904598,37882
18007,21894.788525367472,2109
18009,24171.70593080725,3642
18011,26349.513478818997,11685
18013,16485.48275862069,2204
18015,22721.239112739113,4914
18017,24622.79667788057,14268
18019,26297.746592923868,37789
18021,22407.571872571873,6435
18023,26769.762226314713,9774
18025,21194.23179227359,1579
18027,20441.95901166147,8661
18029,26492.340176450627,11788
18031,24885.302862419205,12996
18033,32173.71554178948,20017
18035,27359.531869579536,45545
18037,27254.452523493343,27561
18039,30194.85876350074,115827
18041,33587.534993418165,9116
18043,27251.334569296858,22115
18045,24650.897037793668,4895
18047,19920.766375545852,3206
18049,24952.936413393432,6212
18051,29860.722034501156,11246
18053,28992.91427021161,25802
18055,20935.066901408452,5680
18057,38828.03631361761,69065
18059,33527.13860103627,12352
18061,22718.610898003346,10167
18063,26942.32731253421,23751
18065,32587.995086426254,11397
18067,42476.092828494315,39643
18069,24130.99548736462,14404
18071,28065.950630949745,18068
18073,26083.103429504627,9185
18075,24608.948554082122,6259
18077,26160.203794664354,10383
18079,24493.201873048907,6727
18081,24492.45795995623,33813
18083,21951.330113636363,12320
18085,31930.72438899224,31178
18087,28369.44282238443,11508
18089,31738.874641354385,171827
18091,26950.638891670005,39952
18093,28773.2545018935,12939
18095,30741.978536062477,39182
18097,36419.08392843474,535623
18099,26108.37359768966,18006
18101,25064.832849891227,2758
18103,23883.45410750507,7888
18105,25158.80109328954,44453
18107,30239.326364165965,15449
18109,24433.617788861182,12030
18111,23889.09362200117,3418
18113,27442.108507515564,19759
18115,25539.704599056604,1696
18117,21807.381609577653,6014
18119,21911.9207977208,3510
18121,19761.161989795917,2352
18123,25970.81867653461,4594
18125,34263.365909090906,2200
18127,31755.53187696009,46554
18129,38535.33731821543,8114
18131,26535.6452247191,3560
18133,24864.08378351832,10181
18135,25875.418417047185,6570
18137,30574.573019161056,11586
18139,25189.68308921438,4506
18141,29608.136015078362,116193
18143,22783.07292973651,6376
18145,29548.857697716467,14933
18147,29251.43648993479,7054
18149,20368.779286926994,3534
18151,25205.875752497985,16113
18153,23263.319191919192,3465
18155,23098.443117977527,1424
18157,29949.783051177586,61609
18159,27664.19947121034,3404
18161,19526.36828422877,1154
18163,29318.266354582862,100614
18165,39426.0393757503,4165
18167,25629.176706827307,44820
18169,25970.901273633415,12641
18171,22363.390636991557,1303
18173,32420.69686760153,10982
18175,23180.84662576687,5542
18177,26516.199609799784,31266
18179,26203.111313169986,10448
18181,23641.263039315083,8877
18183,26941.72705178538,10698
19001,23259.514699792962,2415
19003,23043.000850340137,1176
19005,19837.980058256777,4463
19007,21252.710747895,4038
19009,19270.257790368272,1412
19011,22321.841656516444,4105
19013,27367.282945284245,60001
19015,23370.286158861883,6748
19017,24904.18792538442,7934
19019,22915.37082525318,4641
19021,22606.194871794873,8190
19023,21100.448262243284,2532
19025,17886.531844499586,2418
19027,21528.86087287974,10494
19029,20824.186650679458,5004
19031,22181.1349472675,4172
19033,24548.484704664108,23177
19035,21596.705932383586,4703
19037,24362.06971569839,4045
19039,21676.384271436087,3802
